6.520046, 0.272174  
6.520026, 0.106274  
6.519988, 0.063679  
6.519930, 0.038826  
6.519853, 0.030301  
6.519757, 0.029035  
6.519642, 0.024469  
6.519507, 0.018102  
6.519353, 0.016081  
6.519180, 0.016846  
6.518988, 0.015140  
6.518776, 0.011800  
6.518545, 0.010967  
6.518295, 0.011885  
6.518026, 0.010962  
6.517737, 0.008756  
6.517429, 0.008337  
6.517102, 0.009196  
6.516756, 0.008595  
6.516391, 0.006964  
6.516006, 0.006737  
6.515602, 0.007511  
6.515179, 0.007072  
6.514737, 0.005785  
6.514275, 0.005663  
6.513794, 0.006357  
6.513294, 0.006012  
6.512775, 0.004952  
6.512236, 0.004892  
6.511679, 0.005518  
6.511102, 0.005231  
6.510506, 0.004332  
6.509890, 0.004313  
6.509256, 0.004882  
6.508602, 0.004634  
6.507929, 0.003854  
6.507237, 0.003864  
6.506525, 0.004383  
6.505795, 0.004163  
6.505045, 0.003475  
6.504276, 0.003504  
6.503488, 0.003982  
6.502680, 0.003782  
6.501854, 0.003168  
6.501008, 0.003212  
6.500143, 0.003653  
6.499259, 0.003468  
6.498355, 0.002913  
6.497433, 0.002969  
6.496491, 0.003379  
6.495530, 0.003205  
6.494550, 0.002700  
6.493551, 0.002764  
6.492532, 0.003147  
6.491495, 0.002982  
6.490438, 0.002519  
6.489362, 0.002590  
6.488267, 0.002949  
6.487153, 0.002791  
6.486019, 0.002363  
6.484867, 0.002441  
6.483695, 0.002778  
6.482504, 0.002626  
6.481294, 0.002229  
6.480065, 0.002311  
6.478817, 0.002629  
6.477549, 0.002482  
6.476263, 0.002111  
6.474957, 0.002198  
6.473632, 0.002498  
6.472288, 0.002355  
6.470925, 0.002008  
6.469543, 0.002098  
6.468142, 0.002383  
6.466721, 0.002242  
6.465282, 0.001918  
6.463823, 0.002010  
6.462346, 0.002280  
6.460849, 0.002143  
6.459333, 0.001837  
6.457798, 0.001932  
6.456244, 0.002189  
6.454671, 0.002054  
6.453078, 0.001765  
6.451467, 0.001863  
6.449837, 0.002107  
6.448187, 0.001974  
6.446519, 0.001701  
6.444831, 0.001801  
6.443125, 0.002034  
6.441399, 0.001902  
6.439654, 0.001644  
6.437891, 0.001745  
6.436108, 0.001968  
